Task;;Adam;epoch x/200;Adam Dice;;RMSProp;epoch x/200;RMSProp dice;;ImageSize;TrainSize
BrainTumour;;works great;91;0,6553;;tbd;;_;;240;484
Heart;;works okay;200;0,4821;;doesn?t work;200;0,01763;;320;20
Liver;;works great;71;0,6401;;tbd;;_;;512;131
Hippocampus;;works fine, sudden drop;200;0,4814;;works badly;200;0,1819;;64;263
Prostate;;works fine;200;0,6956;;works great;200;0,4863;;384;32
Lung;;Not working properly ;137;0,0234;;tbd;;_;;512;64
Pancreas;;tbd;;_;;tbd;;_;;512;282
HepaticVessel;;Not working properly ;34;0,0373;;tbd;;_;;512;303
Spleen;;Probably works, training not that far though;6;0,0346;;tbd;;_;;512;41
Colon;;works fine;75;0,5137;;tbd;;_;;512;126
