A Perspective View and Survey of Meta-Learning;http://sci-hub.tw/https://link.springer.com/article/10.1023/A:1019956318069;2002;R Vilalta
Meta-Learning with Memory-Augmented Neural Networks;http://proceedings.mlr.press/v48/santoro16.pdf;2016;A Santoro
One-Shot Visual Imitation Learning via Meta-Learning;https://arxiv.org/pdf/1709.04905.pdf;2017;C Finn
Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks;https://arxiv.org/pdf/1703.03400.pdf;2017;C Finn
Exploring the Similarity of Medical Imaging Classification Problems;http://sci-hub.tw/https://link.springer.com/chapter/10.1007/978-3-319-67534-3_7;2017;V Cheplygina 
One-shot Generalization in Deep Generative Models;https://arxiv.org/pdf/1603.05106.pdf;2016;J Rezende
Prototypical Networks for Few-Shot Learning;https://arxiv.org/pdf/1703.05175.pdf;2017;J Snell
nnUnet: Self-adapting Framework for U-net-Based Medical Image Segmentation;https://arxiv.org/pdf/1809.10486.pdf;2018;F Isensee
Meta-Learning by Landmarking Various Learning Algorithms;https://www.researchgate.net/profile/Bernhard_Pfahringer/publication/221345088_Meta-Learning_by_Landmarking_Various_Learning_Algorithms/links/0c96052af5db474896000000/Meta-Learning-by-Landmarking-Various-Learning-Algorithms.pdf;2000;B Pfahringer
Some meta-learning articles on Medium;https://medium.com/@mcgrocedata/meta-learning-learning-to-learn-5ccb5de6b7e6;2018;
Undoing the Damage of Dataset Bias;http://undoingbias.csail.mit.edu/;2012;A Khosla
Ranking Learning Algorithms: Using IBL and Meta-Learning on Accuracy and Time Results;https://link.springer.com/article/10.1023/A:1021713901879;2003;P B Brazdil
OpenML: networked science in machine learning;https://arxiv.org/abs/1407.7722;2014;J Verschoren
One Model To Learn Them All;https://arxiv.org/abs/1706.05137;2017;L Kaiser
Do CIFAR-10 Classifiers Generalize to CIFAR-10?;https://arxiv.org/abs/1806.00451;2018;B Rechk
Meta-learning from an experiment database;https://core.ac.uk/download/pdf/34534065.pdf;2012;K Driessens
"""""";https://medium.com/@jonathan_hui/meta-learning-how-we-address-the-shortcomings-of-our-deep-networks-a008aa4b5b2b;;
"""""";https://medium.com/huggingface/from-zero-to-research-an-introduction-to-meta-learning-8e16e677f78a;;
Youtube video meta learning;https://www.youtube.com/watch?v=2z0ofe2lpz4;2018;Siraj Raval
